,pln_area_n,population
0,MARINE PARADE,25050
1,NORTH-EASTERN ISLANDS,0
2,PIONEER,90
3,JURONG WEST,266720
4,KALLANG,50250
5,NOVENA,23700
6,PASIR RIS,74440
7,HOUGANG,223010
8,JURONG EAST,40910
9,LIM CHU KANG,50
10,MANDAI,2090
11,BUKIT PANJANG,71290
12,BUKIT TIMAH,41450
13,ANG MO KIO,165710
14,BEDOK,281300
15,BISHAN,42900
16,BOON LAY,0
17,BUKIT BATOK,73550
18,BUKIT MERAH,73120
19,CHOA CHU KANG,94070
20,TANGLIN,11270
21,GEYLANG,55250
22,CHANGI,2080
23,SELETAR,110
24,SENGKANG,122280
25,SERANGOON,56710
26,DOWNTOWN CORE,1250
27,SUNGEI KADUT,390
28,TAMPINES,131330
29,ORCHARD,530
30,OUTRAM,20030
31,TENGAH,0
32,TOA PAYOH,63070
33,MARINA EAST,0
34,WOODLANDS,125810
35,MARINA SOUTH,0
36,SINGAPORE RIVER,1560
37,STRAITS VIEW,0
38,SIMPANG,0
39,SOUTHERN ISLANDS,960
40,TUAS,0
41,WESTERN ISLANDS,0
42,WESTERN WATER CATCHMENT,720
43,YISHUN,106170
44,MUSEUM,210
45,NEWTON,4030
46,CHANGI BAY,0
47,CLEMENTI,48700
48,PAYA LEBAR,0
49,PUNGGOL,161570
50,QUEENSTOWN,46050
51,SEMBAWANG,44140
52,CENTRAL WATER CATCHMENT,0
53,RIVER VALLEY,5330
54,ROCHOR,13450
